itemId,field,matchedSourceFile,longestNormalizedNgram,overlapScore,matchType,result
pssa_ebsr_g3_creek_01,partA.stem,,,0,none,PASS
pssa_ebsr_g3_creek_01,partA.choices.0,,,0,none,PASS
pssa_ebsr_g3_creek_01,partA.choices.1,,,0,none,PASS
pssa_ebsr_g3_creek_01,partA.choices.2,,,0,none,PASS
pssa_ebsr_g3_creek_01,partA.choices.3,,,0,none,PASS
pssa_ebsr_g3_creek_01,partB.stem,,,0,none,PASS
pssa_ebsr_g3_creek_01,partB.instruction,,,0,none,PASS
pssa_ebsr_g3_creek_01,partB.choices.0,,,0,none,PASS
pssa_ebsr_g3_creek_01,partB.choices.1,,,0,none,PASS
pssa_ebsr_g3_creek_01,partB.choices.2,,,0,none,PASS
pssa_ebsr_g3_creek_01,partB.choices.3,,,0,none,PASS
pssa_ebsr_g3_creek_01,partA.rationale,,,0,none,PASS
pssa_ebsr_g3_creek_01,assignedPassage.text,,,0,none,PASS
pssa_ebsr_g3_map_01,partA.stem,,,0,none,PASS
pssa_ebsr_g3_map_01,partA.choices.0,,,0,none,PASS
pssa_ebsr_g3_map_01,partA.choices.1,,,0,none,PASS
pssa_ebsr_g3_map_01,partA.choices.2,,,0,none,PASS
pssa_ebsr_g3_map_01,partA.choices.3,,,0,none,PASS
pssa_ebsr_g3_map_01,partB.stem,,,0,none,PASS
pssa_ebsr_g3_map_01,partB.instruction,,,0,none,PASS
pssa_ebsr_g3_map_01,partB.choices.0,,,0,none,PASS
pssa_ebsr_g3_map_01,partB.choices.1,,,0,none,PASS
pssa_ebsr_g3_map_01,partB.choices.2,,,0,none,PASS
pssa_ebsr_g3_map_01,partB.choices.3,,,0,none,PASS
pssa_ebsr_g3_map_01,partA.rationale,,,0,none,PASS
pssa_ebsr_g3_map_01,assignedPassage.text,,,0,none,PASS
pssa_ebsr_g3_lunch_01,partA.stem,,,0,none,PASS
pssa_ebsr_g3_lunch_01,partA.choices.0,,,0,none,PASS
pssa_ebsr_g3_lunch_01,partA.choices.1,,,0,none,PASS
pssa_ebsr_g3_lunch_01,partA.choices.2,,,0,none,PASS
pssa_ebsr_g3_lunch_01,partA.choices.3,,,0,none,PASS
pssa_ebsr_g3_lunch_01,partB.stem,,,0,none,PASS
pssa_ebsr_g3_lunch_01,partB.instruction,,,0,none,PASS
pssa_ebsr_g3_lunch_01,partB.choices.0,,,0,none,PASS
pssa_ebsr_g3_lunch_01,partB.choices.1,,,0,none,PASS
pssa_ebsr_g3_lunch_01,partB.choices.2,,,0,none,PASS
pssa_ebsr_g3_lunch_01,partB.choices.3,,,0,none,PASS
pssa_ebsr_g3_lunch_01,partA.rationale,,,0,none,PASS
pssa_ebsr_g3_lunch_01,assignedPassage.text,,,0,none,PASS
pssa_ebsr_g3_mural_01,partA.stem,,,0,none,PASS
pssa_ebsr_g3_mural_01,partA.choices.0,,,0,none,PASS
pssa_ebsr_g3_mural_01,partA.choices.1,,,0,none,PASS
pssa_ebsr_g3_mural_01,partA.choices.2,,,0,none,PASS
pssa_ebsr_g3_mural_01,partA.choices.3,,,0,none,PASS
pssa_ebsr_g3_mural_01,partB.stem,,,0,none,PASS
pssa_ebsr_g3_mural_01,partB.instruction,,,0,none,PASS
pssa_ebsr_g3_mural_01,partB.choices.0,,,0,none,PASS
pssa_ebsr_g3_mural_01,partB.choices.1,,,0,none,PASS
pssa_ebsr_g3_mural_01,partB.choices.2,,,0,none,PASS
pssa_ebsr_g3_mural_01,partB.choices.3,,,0,none,PASS
pssa_ebsr_g3_mural_01,partA.rationale,,,0,none,PASS
pssa_ebsr_g3_mural_01,assignedPassage.text,,,0,none,PASS
pssa_ebsr_g3_cart_01,partA.stem,,,0,none,PASS
pssa_ebsr_g3_cart_01,partA.choices.0,,,0,none,PASS
pssa_ebsr_g3_cart_01,partA.choices.1,,,0,none,PASS
pssa_ebsr_g3_cart_01,partA.choices.2,,,0,none,PASS
pssa_ebsr_g3_cart_01,partA.choices.3,,,0,none,PASS
pssa_ebsr_g3_cart_01,partB.stem,,,0,none,PASS
pssa_ebsr_g3_cart_01,partB.instruction,,,0,none,PASS
pssa_ebsr_g3_cart_01,partB.choices.0,,,0,none,PASS
pssa_ebsr_g3_cart_01,partB.choices.1,,,0,none,PASS
pssa_ebsr_g3_cart_01,partB.choices.2,,,0,none,PASS
pssa_ebsr_g3_cart_01,partB.choices.3,,,0,none,PASS
pssa_ebsr_g3_cart_01,partA.rationale,,,0,none,PASS
pssa_ebsr_g3_cart_01,assignedPassage.text,,,0,none,PASS
